Time,Cluster1_Intensity,Cluster1_NormalForce,Cluster1_ShearForce_x,Cluster1_ShearForce_y,Cluster2_Intensity,Cluster2_NormalForce,Cluster2_ShearForce_x,Cluster2_ShearForce_y,shear1_forcex,shear1_forcey,shear2_forcex,shear2_forcey
26.7,75068,1.2143216,-0.970782801,0.195539525,66910,1.404346,-1.047556533,0.351951284,-0.567537843,-0.416758938,-1.301414836,0.466110229
26.8,68820,1.175584,-0.098904151,1.039448132,69341,1.37251244,-0.356640205,1.130507992,-0.426947736,0.020103183,-0.918063122,0.735696237
27,61461,1.1299582,-1.145211668,-0.238206187,70392,1.32987148,-1.309825022,-0.081586573,-0.642426915,-0.057389628,-1.061820626,0.435793319
27.1,56368,1.0983816,-0.253278231,1.098299769,72294,1.30369656,-0.490620803,1.275349065,-0.52568231,0.289317191,-0.865370718,0.724537542
27.3,51560,1.068572,-0.491271585,0.765928378,77903,1.28981652,-0.520491388,0.878133585,-0.515359093,0.432300547,-0.751748928,0.775140335
27.4,44192,1.0228904,-0.081652875,0.994595864,83973,1.26137372,-0.09323573,1.32215555,-0.385247227,0.600989142,-0.54100644,0.950200376
27.5,37072,0.9787464,-0.387040846,0.868517137,76130,1.1949556,-0.472539798,1.060376229,-0.385785313,0.681247541,-0.519525432,0.984767405
27.7,36718,0.9765516,-0.522666534,-0.418302438,76822,1.19472608,-0.639437117,-0.511756709,-0.426849679,0.351382547,-0.556636955,0.521607458
27.8,34888,0.9652056,-0.438986814,0,75529,1.17970796,-0.62534706,0.174228496,-0.43049082,0.245967783,-0.577702159,0.415107713
28,29726,0.9332012,-0.328185586,0.552159497,82621,1.16784484,-0.262814767,0.794670833,-0.39979925,0.337825297,-0.481794862,0.530713717
28.1,26747,0.9147314,-0.80085618,0.54860653,80248,1.14263572,-0.927635197,0.769057242,-0.520116329,0.401059667,-0.616968725,0.60297684
28.3,24992,0.9038504,-0.835260713,0.21320889,78905,1.1279406,-1.032677105,0.54365374,-0.614659644,0.344704434,-0.742606261,0.585047906
28.4,22858,0.8906196,-0.482960887,0.815225939,82016,1.12354504,-0.696012416,0.957859492,-0.575150017,0.485860885,-0.728555693,0.697470791
28.6,21097,0.8797014,-1.134124258,0.202901381,79987,1.10686448,-1.458790566,0.320988677,-0.742842289,0.400973034,-0.948419354,0.584117213
28.7,18062,0.8608844,-0.895026155,0.343819882,79356,1.08625544,-1.232725819,0.329380896,-0.788497449,0.383827088,-1.033927233,0.507502837
28.8,15992,0.8480504,-0.924136105,0.17026566,77889,1.06925516,-1.137838213,0.419277578,-0.829189046,0.31975866,-1.065155732,0.480988388
29,12725,0.827795,-0.538164673,0.949781732,79920,1.0547678,-0.571642499,1.38697955,-0.741881734,0.508765582,-0.916918328,0.753122485
29.1,12490,0.826338,-0.671956912,0.436496296,85526,1.06923184,-0.768121163,0.724410544,-0.720904287,0.487084796,-0.872240478,0.744501435
29.2,10210,0.812202,-0.069289767,0.84167952,90003,1.06781052,-0.084358245,1.193436452,-0.525419931,0.593463213,-0.635732403,0.879263652
29.4,9291,0.8065042,-0.673481717,0.284969901,96455,1.0804364,-0.671008234,0.369133851,-0.569838467,0.500915219,-0.646319646,0.726159729
29.5,10167,0.8119354,-0.110146858,0.986125863,96722,1.08662588,-0.408073,1.06677845,-0.431930984,0.646478413,-0.57482441,0.828375714
29.7,9988,0.8108256,-0.355843761,0.445810295,99428,1.09320112,-0.451559873,0.679891972,-0.409104817,0.586277977,-0.537837357,0.783821325
29.8,9197,0.8059214,-0.378563964,0.496669661,105212,1.10472348,0,1.01031482,-0.399942561,0.559395482,-0.376462656,0.851779267
30,10281,0.8126422,0.063197261,0.820420289,112740,1.1328238,-0.091743825,1.099264988,-0.261000615,0.637702924,-0.291038301,0.92603255
30.1,7994,0.7984628,-0.490873115,0.340034725,132617,1.17509508,-0.433070864,0.913343224,-0.329962365,0.548402465,-0.33365111,0.922225481
30.3,9018,0.8048116,0.098295538,0.94685907,133928,1.18516712,-0.070705272,1.43288161,-0.201484994,0.667939446,-0.254763419,1.07542997
30.4,8921,0.8042102,-0.484665895,0.325243119,133077,1.18214888,-0.600999316,0.600999316,-0.286439264,0.565130548,-0.358637819,0.933095799
30.6,10112,0.8115944,-0.210674642,0.613813282,135919,1.19760436,-0.383716688,0.677422703,-0.263709878,0.579735368,-0.366161664,0.856391993
30.7,10538,0.8142356,0.411844387,0.30613494,141717,1.21671188,0.54197664,0.681087558,-0.061043598,0.49765524,-0.093715506,0.803799762
30.9,7676,0.7964912,-0.154178197,0.577919201,154965,1.2365918,0,0,-0.088983978,0.521734428,-0.065600517,0.562656942
31.1,8973,0.8045326,-0.537833919,0.442455982,148807,1.22714448,-0.706235303,0.834672459,-0.22363896,0.497950894,-0.257792566,0.644262282
31.2,13623,0.8333626,0.359163136,-0.739198955,134358,1.21493932,0.266792143,-1.405991515,-0.048798331,0.12680594,-0.100416229,0.029182529
31.3,19349,0.8688638,0.213529989,-1.012174317,120563,1.21126272,0.068334444,-1.569012808,0.029900165,-0.214888137,-0.049790819,-0.450278043
31.5,25655,0.907961,0.432548874,-1.027517671,111826,1.22554684,0.341614354,-1.57146725,0.150694778,-0.458676998,0.067631071,-0.786635774
